ip,type,is_cidr,sources,source_count,category,confidence,first_seen,last_seen
147.93.171.2,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.187.41,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.29.210,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.5.191,ipv4,False,Blocklist.de (all)|Blocklist.de (ssh)|RTBH (Turkiye)|Stamparm IPsum,4,attacker,80,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.93.59.216,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.0.250.91,ipv4,False,RTBH (Turkiye)|Stamparm IPsum,2,government-feed,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.101.179.196,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.101.6.41,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.0,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.101,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.102,ipv4,False,Blocklist.de (all)|Blocklist.de (bots)|RTBH (Turkiye),3,attacker,60,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.103,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.105,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.107,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.108,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.109,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.11,ipv4,False,Blocklist.de (all)|Blocklist.de (bots),2,attacker,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.110,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.113,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.120,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.121,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.123,ipv4,False,Blocklist.de (all)|Blocklist.de (bots),2,attacker,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.127,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.129,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.13,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.130,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.134,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.136,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
148.113.128.140,ipv4,False,Blocklist.de (all)|Blocklist.de (bots)|RTBH (Turkiye),3,attacker,60,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
